,super_opeid,mr_overall,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
134,2910,2.438084795,2.4540040750000003,2.41752274,2.66081041,2.431458484,2.352602755
135,9941,2.96230255,3.377089373,3.2292407400000007,2.82734564,2.544950945,2.78682622
136,3479,2.56090087,2.8235897800000003,2.72120021,2.71502108,2.5579298300000004,2.48543225
137,3835,2.4573899299999997,2.26174317,2.7437114499999997,2.352174841,2.5391048650000005,2.4121445
138,10256,2.44506829,2.6865020399999997,2.1000965369999998,2.58981651,2.578277456,2.2964170950000002
139,1767,2.138215626,2.5011601,2.57850277,2.045006033,2.108083227,2.087389069
140,2911,2.7837394900000003,2.749346465,2.788098065,2.7937943599999997,2.87296488,2.67543812
141,3682,3.1924087500000002,3.1224128099999997,3.348274112,3.8097775309999995,2.77853398,3.09674677
142,2124,1.660402385,1.912701664,1.7612822339999998,1.789444156,1.5641062909999999,1.62665047
143,4736,2.75445852,2.8347265100000003,2.92361934,2.71001573,2.72666812,2.65838937
144,7394,2.6732597900000004,2.6764764,2.6601945099999997,2.74504202,2.67207726,2.56809648
145,7502,2.6454836399999997,2.657529535,2.6974149599999997,2.6025841099999996,2.69981822,2.53989078
146,2126,2.9228281000000003,3.196045682,3.1779929200000003,2.9848555799999996,2.8591311200000002,2.87778482
147,2167,2.97811314,3.24382328,3.06463163,2.88241294,2.86197342,3.0124056
148,1554,2.4682213399999995,2.33138541,2.66606737,2.49107767,2.5242719300000003,2.4056622400000003
149,7947,3.11627923,3.664074692,3.129992248,3.0501882499999997,3.1615365000000004,2.8663515900000003
150,3808,2.270832575,2.64017558,2.27885545,2.388910535,2.095700306,2.266937028
151,1904,2.4036913450000004,2.80845287,2.5424740850000003,2.5351407200000002,2.323029612,2.134639074
152,2337,2.74481961,3.03012775,2.8329652,2.98673018,2.516424615,2.5735421049999996
153,1787,2.8680896099999997,3.2849988,3.12280901,2.7919870099999997,2.78371158,2.8119979400000004
154,3480,2.78650922,3.4428044710000005,2.72400237,2.70727141,2.68627684,2.219325655
155,9058,2.48657294,2.789212235,2.67174018,2.65121887,2.36587323,2.44873791
156,1467,2.8376359000000004,2.9822532,2.8898013199999997,2.8446284580000003,2.6676795899999997,2.5498121400000002
157,5733,3.0908528900000003,3.3630465490000003,3.1971134400000003,3.09871549,2.8325326200000003,2.76214998
158,3770,2.8127962600000003,3.20074204,2.79647451,2.98250137,2.67841241,2.4142578100000005
159,2836,1.876113196,2.002891249,1.985835719,2.026665936,1.9511729769999997,1.7493272500000001
160,1122,2.7057256200000004,2.9465018599999997,2.53428949,2.6695424500000002,2.78365097,2.6764279699999998
161,1012,2.29847392,2.7611027900000003,2.600579084,2.49539507,2.211795752,2.23553984
162,1030,3.258592511,3.3936481840000003,3.366533395,3.1053371600000004,2.98102872,2.83397794
163,2988,2.3853137799999997,2.58727191,2.60688532,2.3879284000000003,2.243352144,2.244415075
164,1638,2.80693359,3.219889779,2.90237014,2.85434621,2.7213280200000005,2.5808504500000002
165,20522,3.1145469300000004,3.294684031,3.1901248300000002,3.02683928,2.88794747,2.86879503
166,1639,2.37917131,2.58249485,2.8822015300000006,2.3152921300000004,2.05077402,2.51566814
167,5390,2.8935761099999997,3.2359882300000002,3.03439927,2.9600697499999997,2.7448396149999996,2.78329178
168,7987,3.381105964,3.5631289760000002,3.557467699,3.10853273,3.221106485,2.86139945
169,3549,2.61518551,3.03447179,2.8170602799999998,2.60842902,2.5129299599999997,2.47128778
170,2597,2.6357800549999997,2.64415327,2.7019450700000003,2.70685396,2.5352454499999997,2.348022503
171,3315,2.242171915,2.42375373,2.379121325,2.32477502,2.2202647939999998,2.137879136
172,3186,3.0097761899999997,3.16767169,3.1155345580000002,3.0157582,2.8281227099999997,3.0898840599999997
173,9684,3.2483384030000004,3.418968563,3.350116785,3.3175088600000002,3.0471138399999997,3.1216050500000003
174,6819,2.86446122,2.9676764799999997,2.9746095,2.8589073999999997,2.8191672399999996,2.7908650299999995
175,3809,3.06332112,3.4952878949999997,3.17757471,2.9471357499999997,2.8772031599999996,2.6940104399999996
176,3016,2.49746552,2.568348642,2.68371222,2.74594359,2.36515678,2.308027456
177,1616,2.80829401,2.9615234,2.92598088,2.8842427500000003,2.7060954900000005,2.73209884
178,13029,3.13748864,3.195379907,3.1226950400000004,2.7794882249999997,3.644149414,3.2570341660000004
179,20554,2.9780586899999997,3.2779543360000005,3.10496863,2.93356099,2.9065312,2.67990196
180,2128,1.80678209,2.037873839,2.004668006,1.891485973,1.81835478,1.7685976599999997
181,2130,1.979613284,2.139932972,1.9807811599999998,1.9573377219999997,1.9699776690000004,1.976141419
182,2038,1.94694697,2.1339778700000003,2.31367343,1.852562846,2.051567706,1.90482362
183,3018,2.360117475,2.69252233,2.5428466800000002,2.46063894,2.297871037,2.2829796499999997
184,4853,3.1057732529999997,3.216396918,3.2210286150000003,3.102041206,3.022072541,2.5098209099999997
185,9721,3.2418287100000005,3.049261273,3.1652240239999996,3.28635031,3.081063174,3.76897284
186,1641,2.01121907,2.29243927,2.2509941500000004,2.0794708809999998,1.97066865,1.9684134210000002
187,2133,1.9881597269999998,2.1525701319999997,2.0747280790000002,2.0865879009999997,1.9992863399999998,1.9472565889999998
188,7287,2.68014044,2.71729513,2.8604531599999996,2.6085444300000002,2.6647891800000005,2.62038708
189,1556,2.78760751,2.683969169,2.7943582780000003,2.9481768300000004,2.6304466900000003,2.8490133800000006
190,2912,2.99005881,3.4311842080000003,2.9198982699999996,2.731407,2.76755973,3.17303502
191,1557,2.9374697100000002,3.3848277980000003,2.7474855799999998,3.051226387,2.96663492,2.61486276
192,1846,2.40784688,2.824435275,2.56709054,2.493174475,2.22349908,2.28822392
193,20757,2.78606,2.98842284,2.8741591300000002,2.7832578000000003,2.7244741700000006,2.6387620300000005
194,21154,3.2256062100000005,3.32471843,3.40028892,3.1746677500000002,3.010125744,3.513983604
195,3704,2.306737849,2.83670927,2.279694463,2.35689745,2.2776539160000002,2.2167531400000002
196,2183,2.30108758,2.5870430300000002,2.4404295900000004,2.37934031,2.2392696150000004,2.23998564
197,3670,2.877657439,2.986678118,2.9752489300000002,2.98600963,2.837729938,2.858355564
198,1606,3.0802085800000003,3.322573723,3.5844975539999995,3.1154890899999996,3.08452727,2.9341725999999997
199,1625,3.1273114599999996,3.3681384999999997,3.2482735999999997,3.1766808200000005,3.08832669,3.07431539
200,2176,2.8275306899999997,3.0948932900000004,3.00076439,2.8555122600000002,2.6578063100000002,2.71558014
201,8404,2.73592185,3.0659389299999997,2.90702492,2.81434587,2.6931477800000003,2.59916159
202,22188,3.506321964,3.5468392690000003,3.507131507,3.514495199,3.5507934709999995,2.86489258
203,1123,3.00204011,3.241132716,3.26485346,2.98383228,2.88862662,2.94770089
204,2862,2.9431654199999997,3.338813245,3.13638081,2.9187503500000003,2.7904673700000004,2.70054223
205,1500,2.8979007799999996,3.00670419,2.94801749,2.8755710000000003,2.84454182,2.79875267
206,7351,2.82430852,3.1143408900000007,2.9943758999999996,2.8508359999999997,2.7282084049999997,2.604869215
207,3401,1.946621725,2.050122988,2.005064579,2.0584853560000003,1.905552889,1.9350932209999998
